Date,Close,Daily_Return_%,Volume,Volume_Avg20,Volume_Spike,Volatility_5d,Volatility_20d,Avg_VADER_Score,Median_VADER_Score,News_Count,Sentiment_Std,Hindi_Count,English_Avg_Score,Hindi_Avg_Score,Ticker,Sentiment_Yesterday,Return_Tomorrow,Return_Day_After,Return_Yesterday
2023-01-02,409.8319702,30.92834390968855,90897917,,0,,,,,,,,,,ITC,,-2.9769900737895316,-1.2071868248411661,
2023-01-09,396.605896,-2.9769900737895316,40258708,,0,9.397235885708614,,,,,,,,,ITC,,-1.2071868248411661,4.285288542809662,30.92834390968855
2023-01-30,366.032135,-1.2071868248411661,79934545,,0,15.833305962423779,,,,,,,,,ITC,,4.285288542809662,2.8113940624205007,-2.9769900737895316
2023-02-06,380.1614685,4.285288542809662,28739904,,0,10.114313449634972,,,,,,,,,ITC,,2.8113940624205007,4.280833447171805,-1.2071868248411661
2023-02-27,368.3605347,2.8113940624205007,52816446,,0,15.570959073003035,,,,,,,,,ITC,,4.280833447171805,-27.372242964908644,4.285288542809662
2023-03-06,382.013092,4.280833447171805,44242234,13146306.2,0,7.3370360522808085,12.102686074906707,,,,,,,,ITC,,-27.372242964908644,37.99474243332225,2.8113940624205007
2023-03-27,277.4475403,-27.372242964908644,6947412,12646962.45,0,13.950867390452778,13.16156016748946,,,,,,,,ITC,,37.99474243332225,3.7960297481476,4.280833447171805
2023-04-03,385.760498,37.99474243332225,37541229,12232044.7,0,21.672177439617023,14.75686381517172,,,,,,,,ITC,,3.7960297481476,12.3082560539701,-27.372242964908644
2023-04-10,400.3532715,3.7960297481476,27205850,10205068.0,0,10.801214613998983,13.311411540601382,,,,,,,,ITC,,12.3082560539701,-4.725983794758914,37.99474243332225
2023-05-01,418.9138489,12.3082560539701,57738670,10549836.080000002,1,17.014296667468802,14.927280716992234,,,,,,,,ITC,,-4.725983794758914,-11.509164140556184,3.7960297481476
2023-05-08,398.3252563,-4.725983794758914,31721861,10442476.016666668,0,7.332873209244524,13.820439799825474,,,,,,,,ITC,,-11.509164140556184,15.602616429891013,12.3082560539701
2023-05-29,334.0383301,-11.509164140556184,59907964,11360538.15,1,15.593073349610743,15.263080223241037,,,,,,,,ITC,,15.602616429891013,6.4086439689857055,-4.725983794758914
