Date,Close,Daily_Return_%,Volume,Volume_Avg20,Volume_Spike,Volatility_5d,Volatility_20d,Avg_VADER_Score,Median_VADER_Score,News_Count,Sentiment_Std,Hindi_Count,English_Avg_Score,Hindi_Avg_Score,Ticker,Sentiment_Yesterday,Return_Tomorrow,Return_Day_After,Return_Yesterday
2023-01-02,1242.976929,15.802260107349998,55028269,,0,,,,,,,,,,RELIANCE,,-4.220854283248854,-5.808175842744134,
2023-01-09,1188.354492,-4.220854283248854,42764874,,0,6.39724075597336,,,,,,,,,RELIANCE,,-5.808175842744134,3.9438019132081337,15.802260107349998
2023-01-30,1114.331055,-5.808175842744134,41294178,,0,5.62570978351711,,,,,,,,,RELIANCE,,3.9438019132081337,-3.592116506600529,-4.220854283248854
2023-02-06,1151.57666,3.9438019132081337,39110962,,0,6.1722346315923415,,,,,,,,,RELIANCE,,-3.592116506600529,4.660370870918352,-5.808175842744134
2023-02-27,1104.767456,-3.592116506600529,64357229,,0,6.13090111121725,,-0.3818,-0.3818,1.0,,0.0,-0.3818,,RELIANCE,,4.660370870918352,-0.1406111298951518,3.9438019132081337
2023-03-06,1151.328491,4.660370870918352,40031949,12252181.649999999,0,5.219285811601267,5.768695791753639,-0.3818,,1.0,,,-0.3818,,RELIANCE,-0.3818,-0.1406111298951518,4.376527255038809,-3.592116506600529
2023-03-27,1149.709595,-0.1406111298951518,9264891,11841204.15,0,5.105499657217844,5.2412254383953485,-0.3818,,1.0,,,-0.3818,,RELIANCE,-0.3818,4.376527255038809,0.5776140087534687,4.660370870918352
2023-04-03,1196.494141,4.376527255038809,48930112,11547003.025,1,3.9058453468733902,5.283803725378459,0.0,0.0,1.0,,0.0,0.0,,RELIANCE,-0.3818,0.5776140087534687,-1.1778611133455792,-0.1406111298951518
2023-04-10,1201.209229,0.5776140087534687,25877376,11871279.825,0,4.892059400963427,4.986132348163904,0.1779,0.1779,1.0,,0.0,0.1779,,RELIANCE,0.0,-1.1778611133455792,2.7815999228943067,4.376527255038809
2023-05-01,1179.815552,-1.1778611133455792,59803356,11991746.25,0,5.222173168391015,5.00275832368675,-0.4493,-0.4493,2.0,0.10946012972767752,0.0,-0.4493,,RELIANCE,0.1779,2.7815999228943067,-11.755533907815138,0.5776140087534687
2023-05-08,1209.9198,2.7815999228943067,32323182,11146119.616666667,0,4.199598541507741,4.500421300046399,0.0,0.0,1.0,,0.0,0.0,,RELIANCE,-0.4493,-11.755533907815138,8.736954954500753,-1.1778611133455792
2023-05-29,1068.863892,-11.755533907815138,49794438,11349443.125,1,5.622015909300551,4.717002382662098,0.0,0.0,1.0,,0.0,0.0,,RELIANCE,0.0,8.736954954500753,5.22018827040267,2.7815999228943067
2023-06-05,1160.907593,8.736954954500753,50889996,11880415.75,1,5.254558030004471,4.946012273380161,0.0,,1.0,,,0.0,,RELIANCE,0.0,5.22018827040267,-13.824991348509375,-11.755533907815138
2023-06-12,1221.509155,5.22018827040267,16422442,11755539.5,0,4.392249609791783,4.910642999121499,0.0,,1.0,,,0.0,,RELIANCE,0.0,-13.824991348509375,14.287865934304378,8.736954954500753
2023-06-26,1052.63562,-13.824991348509375,15135435,11997991.95,0,7.25051270890862,5.77082616355579,0.5574,0.5574,1.0,,0.0,0.5574,,RELIANCE,0.0,14.287865934304378,1.2851401934556028,5.22018827040267
2023-07-03,1207.065918,14.287865934304378,43323254,11528574.3875,0,8.83340267994974,5.885748280427441,0.22183333333333333,0.4019,3.0,0.47625413733985905,0.0,0.22183333333333333,,RELIANCE,0.5574,1.2851401934556028,-5.799262810694073,-13.824991348509375
2023-07-10,1219.499023,1.2851401934556028,15102300,11202201.5,0,5.2575846979232,5.892933595805571,0.0,0.0,1.0,,0.0,0.0,,RELIANCE,0.22183333333333333,-5.799262810694073,7.211299786736558,14.287865934304378
2023-07-31,1141.081787,-5.799262810694073,58167880,11937884.5625,1,6.99048808564018,6.4132138121860836,-0.17,-0.17,2.0,0.2404163056034262,0.0,-0.17,,RELIANCE,0.0,7.211299786736558,-11.87739130213512,1.2851401934556028
2023-08-07,1218.85376,7.211299786736558,51042748,12129899.512500001,1,5.488409582026525,6.222393439886151,0.1004,0.0806,4.0,0.34837573585617776,0.0,0.1004,,RELIANCE,-0.17,-11.87739130213512,6.760301558017291,-5.799262810694073
2023-08-28,1076.989746,-11.87739130213512,40130644,12055590.4,0,5.434945870061384,6.318278099763869,0.4021,0.4021,4.0,0.23070916756817444,0.0,0.4021,,RELIANCE,0.1004,6.760301558017291,0.5351935646099815,7.211299786736558
2023-09-04,1140.682251,6.760301558017291,31405203,11768600.7375,0,6.3781667349055144,6.20289055377345,0.0822235294117647,0.0,17.0,0.23753269914217012,0.0,0.0822235294117647,,RELIANCE,0.4021,0.5351935646099815,1.841123765195718,-11.87739130213512
2023-09-11,1146.787109,0.5351935646099815,14513610,11499891.35,0,6.989453497976763,5.905622379043799,-0.0363,0.0,4.0,0.1690675210283355,0.0,-0.0363,,RELIANCE,0.0822235294117647,1.841123765195718,8.241932170253108,6.760301558017291
2023-09-25,1167.900879,1.841123765195718,8047142,11603104.95,0,6.711624528760735,5.853136011183479,0.0,0.0,5.0,0.0,0.0,0.0,,RELIANCE,-0.0363,8.241932170253108,-8.387850282998766,0.5351935646099815
2023-10-02,1254.47583,8.241932170253108,96668813,11972615.15,1,5.837808771463625,5.865124514243592,0.042666666666666665,0.0,3.0,0.0739008344562721,0.0,0.042666666666666665,,RELIANCE,0.0,-8.387850282998766,-0.983666085064594,1.841123765195718
2023-10-09,1148.946045,-8.387850282998766,17970986,12549481.649999999,0,7.163622845635988,6.017437873234874,0.087675,0.0386,8.0,0.2370548263889299,0.0,0.087675,,RELIANCE,0.042666666666666665,-0.983666085064594,8.417257081814778,8.241932170253108
2023-10-30,1132.248657,-0.983666085064594,32609780,12011245.483333334,0,5.755686352762118,5.955159592137012,0.3825,0.4019,25.0,0.32198459719889294,0.0,0.3825,,RELIANCE,0.087675,8.417257081814778,-7.566808144821979,-8.387850282998766
2023-11-06,1220.640503,8.417257081814778,72400008,12884858.85,1,7.022635814684716,6.277722990792557,0.5221666666666667,0.5994,6.0,0.1974251520619059,0.0,0.5221666666666667,,RELIANCE,0.3825,-7.566808144821979,4.358108308895291,-0.983666085064594
2023-11-27,1128.276978,-7.566808144821979,17688773,13373799.5,0,4.800783337421258,6.130704039280431,0.31954000000000005,0.3182,5.0,0.3201098217799635,0.0,0.31954000000000005,,RELIANCE,0.5221666666666667,4.358108308895291,3.177418516732189,8.417257081814778
2023-12-04,1166.069336,4.358108308895291,79070348,13777695.991666667,0,6.4115603567197,6.158100675075176,-0.296,-0.296,1.0,,0.0,-0.296,,RELIANCE,0.31954000000000005,3.177418516732189,26.185043756173243,-7.566808144821979
2023-12-11,1203.120239,3.177418516732189,9197124,13882381.65,0,6.372601375850844,6.21891736238098,0.45204285714285714,0.4215,7.0,0.2490542769300356,0.0,0.45204285714285714,,RELIANCE,-0.296,26.185043756173243,-14.49131286238754,4.358108308895291
2024-01-01,1548.6875,26.185043756173243,42251014,12301691.28,0,5.216157208816644,6.150167620787853,0.45204285714285714,,7.0,,,0.45204285714285714,,RELIANCE,0.45204285714285714,-14.49131286238754,10.854825386312683,3.177418516732189
2024-01-08,1333.324829,-14.49131286238754,29323199,11993226.633333333,0,4.665361711621471,5.821252221162015,0.0,0.0,1.0,,0.0,0.0,,RELIANCE,0.45204285714285714,10.854825386312683,2.617917261490099,26.185043756173243
2024-01-29,1476.025146,10.854825386312683,36011554,10954180.666666666,1,6.6714217717216755,6.070346575927583,0.0,,1.0,,,0.0,,RELIANCE,0.0,2.617917261490099,-13.65869500632434,-14.49131286238754
2024-02-05,1510.218384,2.617917261490099,43770992,10885798.55,0,5.957375183116955,5.869029566506847,0.0,0.0,1.0,,0.0,0.0,,RELIANCE,0.0,-13.65869500632434,-1.6704807913270003,10.854825386312683
2024-02-12,1303.942261,-13.65869500632434,11024152,10956099.3,0,7.568934589476849,6.665118730138214,0.36035,0.34975,4.0,0.029185441576237946,1.0,0.36063333333333336,0.3595,RELIANCE,0.0,-1.6704807913270003,10.258681167265902,2.617917261490099
